Washington, George
Adams, John
Jefferson, Thomas
Madison, James
Monroe, James
Adams, John
Jackson, Andrew
Van Buren, Martin
Harrison, William
Tyler, John
Polk, James
Taylor, Zachary
Fillmore, Millard
Pierce, Franklin
Buchanan, James
Lincoln, Abraham
Johnson, Andrew
Grant, Ulysses
Hayes, Rutherford
Garfield, James
Arthur, Chester
Cleveland, Grover
Harrison, Benjamin
Cleveland, Grover
McKinley, William
Roosevelt, Theodore
Taft, William
Wilson, Woodrow
Harding, Warren
Coolidge, Calvin
Hoover, Herbert
Roosevelt, Franklin
Truman, Harry
Eisenhower, Dwight
Kennedy, John
Johnson, Lyndon
Nixon, Richard
Ford, Gerald
Carter, Jimmy
Reagan, Ronald
Bush, George
Clinton, Bill
Bush, George
