Alice Cooper,I'm Eighteen,2:58
Alice Cooper,Be My Lover,3:22
Alice Cooper,School's Out,3:30
The Animals,House of the Rising Sun,4:31
Badfinger,No Matter What,2:59
Badfinger,Day After Day,3:11
Badfinger,Come and Get It,2:22
Badfinger,Carry On Til Tomorrow,4:49
The Bangles,Manic Monday,3:06
The Bangles,Walk Like an Egyptian,3:24
The Beatles,Help,2:18
The Beatles,She Loves You,2:22
The Beatles,I Want to Hold Your Hand,2:26
The Beatles,Yesterday,2:05
The Beatles,Obla-di Obla-da,3:11
The Beatles,Back in the USSR,2:43
The Beatles,Rocky Raccoon,3:41
The Beatles,Helter Skelter,4:29
The Beatles,Honey Pie,2:41
The Beatles,Martha My Dear,2:28
The Beatles,I Saw Her Standing There,2:55
The Beatles,When I'm Sixty-Four,2:37
Cracker,Eurotrash Girl,8:03
Credence Clearwater Revival,Have You Ever Seen the Rain?,2:39
Credence Clearwater Revival,Bad Moon Rising,2:20
Dire Straits,So Far Away,5:12
Dire Straits,Ticket to Heaven,4:25
Dire Straits,Walk of Life,4:12
Don McLean,American Pie,8:35
Donovan,Catch the Wind,5:02
Donovan,Lalena,2:55
Donovan,Season of the Witch,4:55
John Prine,New Train,3:24
John Prine,Same Thing Happened to Me,3:18
The Kinks,Sunny Afternoon,3:36
The Kinks,Lola,4:05
The Kinks,Village Green Preservation Society,2:49
The Kinks,Apeman,3:56
The Kinks,Big Black Smoke,2:36
Nick Cave and the Bad Seeds,Deanna,3:46
Nick Cave and the Bad Seeds,Red Right Hand,4:48
Nick Cave and the Bad Seeds,Henry Lee,3:56
Nick Cave and the Bad Seeds,The Weeping Song,4:20
Nirvana,Heart-Shaped Box,4:41
Nirvana,All Apologies,3:50
Nirvana,The Man Who Sold the World,4:20
Paul Simon,Mother and Child Reunion,2:48
Paul Simon,Me and Julio,2:43
REM,Losing My Religion,4:28
REM,Man on the Moon,5:13
The Ramones,I Wanna Be Sedated,2:29
Robert Palmer,Simply Irresistible,4:12
Robert Palmer,Bad Case of Loving You,3:10
Robert Palmer,Addicted to Love,5:18
The Rolling Stones,Let It Bleed,4:15
The Rolling Stones,It's Only Rock and Roll,4:10
The Rolling Stones,Anybody Seen My Baby?,4:07
George Harrison,What is Life?,4:27
George Harrison,If Not For You,3:33
Jefferson Airplane,White Rabbit,2:34
